colony,tag_id,body_size,age,foraging_events,group_period1,group_period2,group_period3,group_period4,visits_brood,visits_entrance,visits_rubbishpile
4,6,173.254,176,95,F,F,NA,NA,0.272727,4,0.363636
4,9,152.712,71,1,F,NA,NA,NA,4.81818,8,0.454545
4,14,145.344,57,17,F,NA,NA,NA,3,27.6364,1.18182
4,19,172.012,344,0,F,F,F,F,6.36364,0.727273,1.45455
4,23,157.623,344,28,F,F,F,F,2.09091,7.36364,1.63636
4,26,219.208,190,0,F,F,F,F,46.0909,0,0
4,30,168.609,330,45,F,F,F,C,0.909091,3.63636,0.181818
4,32,126.732,85,50,F,F,F,F,0.636364,110.091,0
4,38,165.858,330,50,F,F,F,F,4.18182,12.2727,0.727273
4,43,136.62,330,26,F,F,F,NA,6.09091,14.7273,0
4,44,163.306,141,26,F,F,F,F,17.5455,27.3636,0.909091
4,64,227.343,316,0,F,F,F,F,1.27273,4.81818,0.727273
4,73,123.081,330,1,F,F,F,NA,4.18182,6.09091,0
4,76,149.967,351,25,F,F,F,F,15.5455,28,5.09091
4,91,143.265,351,98,F,NA,NA,NA,1.18182,261.545,0
4,97,153.522,330,0,F,F,C,F,14.2727,0.636364,1.81818
4,98,153.183,85,13,F,F,F,NA,7.45455,6.27273,0.545455
4,100,135.93,85,162,F,F,F,NA,2,24.9091,0.454545
4,131,139.058,344,24,F,NA,NA,NA,1.36364,118.091,0.363636
4,142,160.028,71,143,F,F,NA,NA,9.27273,9.18182,0
4,148,164.11,232,49,F,F,F,NA,0.545455,14.6364,0
4,149,184.978,337,52,F,F,NA,NA,0.818182,8.54545,0
4,176,142.443,351,36,F,F,F,F,2.18182,4.09091,0
4,195,138.004,71,0,F,NA,NA,NA,14.5455,1.63636,2.36364
4,196,159.028,40,104,F,NA,NA,NA,11.0909,32,0.818182
4,198,165.061,57,3,F,NA,NA,NA,69.6364,3.36364,16.0909
4,202,137.801,330,0,F,C,C,F,11.1818,0,14.6364
4,209,183.175,176,0,F,F,F,NA,3,3.09091,0
4,217,164.305,344,43,F,F,NA,NA,0.363636,10.4545,0
4,232,179.324,57,0,F,F,NA,NA,38.2727,0.0909091,0.545455
4,238,140.004,330,18,F,F,F,NA,0.545455,12.2727,0
4,252,183.175,176,2,F,NA,NA,NA,3.63636,9.18182,0
4,255,151.42,57,9,F,F,F,F,0.363636,10.9091,0
4,257,158.092,197,0,F,F,F,NA,0.181818,2.72727,0
4,260,236.053,400,0,F,F,F,NA,3.81818,32.6364,1.63636
4,263,141.485,330,4,F,NA,NA,NA,14.3636,0.636364,0
4,289,154.651,330,0,F,F,F,NA,11.8182,1.81818,3.72727
4,294,199.06,330,146,F,F,F,F,0,34.5455,0.363636
4,308,142.144,71,1,F,F,F,NA,80.2727,3.18182,40.3636
4,318,202.082,463,60,F,NA,NA,NA,0,4.27273,0
4,324,148.003,351,9,F,F,F,NA,0.272727,3.18182,0
4,332,145.602,344,25,F,F,NA,NA,0.363636,7.18182,0
4,347,165.801,197,0,F,F,F,F,33.3636,4,0.818182
4,353,146.154,190,11,F,NA,NA,NA,29.0909,0.818182,0.363636
4,356,214.704,246,15,F,F,F,F,0.636364,166,0.272727
4,462,127.566,0,57,F,F,NA,NA,0.363636,25.3636,0
4,475,220.656,330,0,F,F,NA,NA,1.27273,3.18182,0.636364
4,492,168.253,330,32,F,F,F,NA,3.45455,5.09091,5.09091
