Herd	Year	z_score_MayTemp	z_score_JuneAugTemp
BEV	2005	-0.307393015	-0.3417696
BEV	2006	0.482479609	0.608016525
BEV	2007	-0.570324532	0.189031341
BEV	2008	0.768497351	0.284809569
BEV	2009	-1.174059	-0.535056584
BEV	2010	-0.21252442	0.095342409
BEV	2011	-0.435796501	0.490872008
BEV	2012	0.69154933	1.18103375
BEV	2013	-0.395912353	1.238219551
BEV	2014	1.516089503	1.278659331
BEV	2015	0.412046422	-0.195884078
QAM	1970	-1.316877764	0.270029396
QAM	1971	0.865092876	-0.29084986
QAM	1972	-0.206863444	-1.929389418
QAM	1973	1.601148067	1.516284293
QAM	1974	0.560965528	0.396332725
QAM	1975	1.268429126	0.505953195
QAM	1976	0.485823421	-0.097072663
QAM	1977	1.202845605	-0.546764703
QAM	1978	-1.186560374	-2.395434044
QAM	1979	0.034169221	-1.000845819
QAM	1980	1.278949582	-0.26646428
QAM	1981	0.34296164	0.193103182
QAM	1982	0.082675538	-0.944320078
QAM	1983	-2.202547868	-0.491041442
QAM	1984	0.401054596	0.345601766
QAM	1985	0.73968904	-0.041813422
QAM	1986	0.516891831	-1.333438489
QAM	1987	-1.318589092	-1.994507706
QAM	1988	-0.986591553	0.113212703
QAM	1989	-0.996498817	-0.186270824
QAM	1990	-0.243121946	-1.13708735
QAM	1991	-0.142366035	0.828176398
QAM	1992	-0.654934677	-2.497624746
QAM	1993	1.013256967	0.627534445
QAM	1994	0.333395038	0.51225294
QAM	1995	-0.491693269	0.388922064
QAM	1996	-0.450148489	1.538551761
QAM	1997	-0.133576945	0.868966426
QAM	1998	0.689703848	1.451676427
QAM	1999	0.62169962	0.023343079
QAM	2000	0.189631504	-0.089891282
QAM	2001	1.02394575	0.625072413
QAM	2002	-0.856446498	-0.242624605
QAM	2003	1.036442048	0.420740142
QAM	2004	-2.780283221	-1.502920181
QAM	2005	-0.485056365	0.115737514
QAM	2006	0.581966362	0.636342624
QAM	2007	-0.376196697	0.185157534
QAM	2008	1.028682961	0.673810819
QAM	2009	-1.703597706	-0.088425527
QAM	2010	-0.692427579	0.217636156
QAM	2011	-0.833257409	0.676900641
QAM	2012	0.848893377	0.745758379
QAM	2013	-0.280382395	1.506269664
QAM	2014	1.819208064	1.67336575
QAM	2015	-0.229503466	0.020054001
LRH	1970	-1.381479834	-1.281760743
LRH	1971	-0.149809879	-0.971060683
LRH	1972	-1.498925708	-2.510034073
LRH	1973	0.709826565	0.60306453
LRH	1974	0.716378098	0.980520878
LRH	1975	0.493538787	0.801135916
LRH	1976	0.618068392	-0.884343956
LRH	1977	0.008528025	-0.757279935
LRH	1978	-0.338840891	-1.956925861
LRH	1979	0.716378098	-1.048783441
LRH	1980	0.867123013	0.285400553
LRH	1981	-0.718981238	-0.992726785
LRH	1982	-0.155324545	-0.331238361
LRH	1983	-1.013919533	-0.637687344
LRH	1984	0.486982666	0.154600817
LRH	1985	-0.771416446	0.924461606
LRH	1986	-0.05701025	-0.704958994
LRH	1987	-1.249866499	-1.037571064
LRH	1988	0.054407111	-0.379823586
LRH	1989	-0.902497583	-0.820813253
LRH	1990	-0.410935287	-1.18705984
LRH	1991	-0.941820548	0.890827089
LRH	1992	-2.108461487	-1.583205228
LRH	1993	0.185492837	0.464785515
LRH	1994	-0.187270153	-0.608005674
LRH	1995	1.571431221	0.185530341
LRH	1996	-1.30885324	0.038743941
LRH	1997	0.447659701	0.804874247
LRH	1998	1.253819481	1.742912853
LRH	1999	1.181725084	0.472259562
LRH	2000	0.30346632	0.199445095
LRH	2001	2.236944073	1.208493682
LRH	2002	-0.961484325	0.382568389
LRH	2003	0.867123013	0.251766036
LRH	2004	-1.080861708	-0.655447687
LRH	2005	1.607744518	0.304086977
LRH	2006	1.424228172	0.490945986
LRH	2007	-1.059798619	0.046217988
LRH	2008	1.601188396	2.404401278
LRH	2009	-1.295745585	0.823560671
LRH	2010	0.369009183	1.05900229
LRH	2011	-0.902497583	0.737602598
LRH	2012	0.395224493	1.425248876
LRH	2013	-0.424042942	-0.22586137
LRH	2014	0.932665875	1.032841819
LRH	2015	-0.129109235	-0.140711654
GRH	1970	-1.495434853	-0.977167399
GRH	1971	-0.321242751	-1.200212152
GRH	1972	-1.76402378	-2.283951036
GRH	1973	0.813099207	0.850822016
GRH	1974	0.096147552	0.920129485
GRH	1975	0.016864593	0.729156268
GRH	1976	0.621730308	-0.709542877
GRH	1977	-0.150313471	-0.900193889
GRH	1978	-0.255067705	-1.813930225
GRH	1979	1.032452838	-0.420254641
GRH	1980	0.540521947	0.077220451
GRH	1981	-0.618992517	-0.804520341
GRH	1982	-0.336617518	-0.238901973
GRH	1983	-0.486666138	-0.601358056
GRH	1984	0.367833247	0.037440317
GRH	1985	-1.199895032	0.672895055
GRH	1986	0.155474614	-1.097705431
GRH	1987	-0.829273992	-1.058566667
GRH	1988	0.317170497	-0.691405178
GRH	1989	-0.505744696	-0.793009118
GRH	1990	-0.502254311	-0.856480424
GRH	1991	-0.955734058	0.032537332
GRH	1992	-1.918089188	-2.098969005
GRH	1993	0.113755976	0.256208257
GRH	1994	-0.536849908	-0.572204601
GRH	1995	1.466337107	0.164477158
GRH	1996	-1.216607147	-0.231646286
GRH	1997	0.175975884	0.091880769
GRH	1998	1.007868386	1.448615269
GRH	1999	1.354564164	0.630950677
GRH	2000	0.070145132	0.435925583
GRH	2001	2.348067187	0.83769673
GRH	2002	-1.043913705	-0.013133678
GRH	2003	1.235710861	0.426183447
GRH	2004	-0.942521812	-0.395739719
GRH	2005	1.77138064	0.517686571
GRH	2006	1.7979806	0.568509818
GRH	2007	-1.068758987	0.414726939
GRH	2008	1.691391068	2.398310876
GRH	2009	-1.185924006	0.421292622
GRH	2010	0.145117276	1.015754398
GRH	2011	-0.72820458	0.769073187
GRH	2012	0.475371253	2.293399778
GRH	2013	-0.129816943	-0.20781529
GRH	2014	0.640121223	1.555031003
GRH	2015	-0.063134464	0.400783982

