Scientific_name,English_name,TipLabel,Female_plumage_score,Male_plumage_score
Alcippe nipalensis,Nepal Fulvetta,Alcippe_nipalensis,47.63888889,46.25
Alcippe peracensis,Mountain Fulvetta,Alcippe_peracensis,50.27777778,47.77777778
Alcippe poioicephala,Brown-cheeked Fulvetta,Alcippe_poioicephala,40.83333333,44.02777778
Alcippe pyrrhoptera,Javan Fulvetta,Alcippe_pyrrhoptera,44.58333333,45.55555556
Alcippe ruficapilla,Spectacled Fulvetta,Alcippe_ruficapilla,42.22222222,45
Alcippe rufogularis,Rufous-throated Fulvetta,Alcippe_rufogularis,48.75,44.86111111
Alcippe striaticollis,Chinese Fulvetta,Alcippe_striaticollis,44.02777778,42.08333333
Alcippe variegaticeps,Gold-fronted Fulvetta,Alcippe_variegaticeps,44.44444444,44.16666667
Alcippe vinipectus,White-browed Fulvetta,Alcippe_vinipectus,45.13888889,45.41666667
Aleadryas rufinucha,Rufous-naped Whistler,Aleadryas_rufinucha,45.41666667,47.77777778
Alectrurus risora,Strange-tailed Tyrant,Alectrurus_risora,45,61.38888889
Alectrurus tricolor,Cock-tailed Tyrant,Alectrurus_tricolor,42.5,54.44444444
Alethe choloensis,Thyolo Alethe,Alethe_choloensis,45.55555556,45.69444444
Alethe diademata,White-tailed Alethe,Alethe_diademata,51.94444444,51.38888889
Alethe fuelleborni,White-chested Alethe,Alethe_fuelleborni,46.80555556,45.13888889
Alethe poliocephala,Brown-chested Alethe,Alethe_poliocephala,42.63888889,40.69444444
Alethe poliophrys,Red-throated Alethe,Alethe_poliophrys,47.63888889,48.05555556
Alophoixus affinis,Golden Bulbul,Alophoixus_affinis,47.91666667,46.38888889
Alophoixus bres,Grey-cheeked Bulbul,Alophoixus_bres,48.19444444,49.44444444
Alophoixus finschii,Finsch's Bulbul,Alophoixus_finschii,46.52777778,45.55555556
Alophoixus flaveolus,White-throated Bulbul,Alophoixus_flaveolus,46.80555556,47.5
Alophoixus ochraceus,Ochraceous Bulbul,Alophoixus_ochraceus,46.66666667,43.75
Alophoixus pallidus,Puff-throated Bulbul,Alophoixus_pallidus,42.63888889,43.05555556
Alophoixus phaeocephalus,Yellow-bellied Bulbul,Alophoixus_phaeocephalus,50.41666667,49.02777778
Alopochelidon fucata,Tawny-headed Swallow,Alopochelidon_fucata,43.88888889,40.83333333
Amadina erythrocephala,Red-headed Finch,Amadina_erythrocephala,39.30555556,50.55555556
Amadina fasciata,Cut-throat,Amadina_fasciata,41.52777778,47.36111111
Amalocichla incerta,Lesser Ground-robin,Amalocichla_incerta,48.88888889,46.25
